latitude,longitude,WD10M,WS10M,PS,RH2M,T2M,blh,AOD,YEAR,MO,DY,HR
26.5,75,129.2,3.27,96.1,20.52,34.16,1076.486324,0.5432007,2025,5,1,1
26.5,76.25,101.5,4.56,97.32,25.4,33.87,745.9446317,0.50663555,2025,5,1,1
26.5,77.5,97.5,4.51,98.2,28.39,33.2,938.0071317,0.57983196,2025,5,1,1
26.5,78.75,92,4.19,98.99,31.92,32.84,925.1425525,0.67335814,2025,5,1,1
26.5,80,91.3,4.84,99.27,34.88,32.6,1087.736312,0.76136065,2025,5,1,1
26.5,81.25,88,5.38,99.48,36.3,32.31,968.7988117,0.85238445,2025,5,1,1
26.5,82.5,88.1,5.48,99.81,36.72,32.03,936.5488117,0.8989339,2025,5,1,1
27,73.75,183.8,3.7,96.85,17.48,35.45,885.8092142,0.6275665,2025,5,1,1
27,75,126.8,4.84,96.01,23.64,33.71,1018.80924,0.53465575,2025,5,1,1
27,76.25,105.8,4.71,96.56,27.71,32.89,837.3612992,0.5706563,2025,5,1,1
27,77.5,102.6,4.51,98.44,30.36,32.83,866.7154667,0.66590166,2025,5,1,1
27,78.75,100.2,4.59,99,33.83,32.53,928.3092233,0.7305074,2025,5,1,1
27,80,93.3,5.15,99.21,36.07,32.32,980.1529783,0.82804155,2025,5,1,1
27,81.25,91.3,5.84,99.51,39.05,31.55,936.6425667,0.90773314,2025,5,1,1
27,82.5,90,5.83,99.85,41.61,30.64,999.5279758,0.8826884,2025,5,1,1
